Ref: 2025-10-01 00:00:00 | Registros: 30

UC           Excecao         Main   Faturar  UCpRateio          Boleto        Ganho
------------------------------------------------------------------------------------------
15564        -               Y      N        15564                   -            -
7567         -               Y      N        7567                    -            -
160366455    -               Y      N        160366455               -            -
1873099      -               Y      N        1873099                 -            -
160158171    -               Y      N        160158171               -            -
160279045    -               Y      N        160279045               -            -
161058401    -               Y      N        161058401               -            -
161041606    -               Y      N        161041606               -            -
160504925    -               Y      N        160504925               -            -
160942633    -               Y      N        160942633               -            -
1047096      -               Y      N        1047096                 -            -
161041231    -               Y      N        161041231               -            -
129311       -               Y      N        129311                  -            -
874855       -               Y      N        874855                  -            -
1087484      -               Y      N        1087484                 -            -
447821       -               Y      N        447821                  -            -
394984       -               Y      N        394984                  -            -
181771       -               Y      N        181771                  -            -
874850       -               Y      N        874850                  -            -
391469       -               Y      N        391469                  -            -
78476        -               Y      N        78476                   -            -
1038307      -               Y      N        1038307                 -            -
1273518      -               Y      N        1273518                 -            -
3726         -               Y      N        3726                    -            -
129920       -               Y      N        129920                  -            -
189702       -               Y      N        189702                  -            -
1342335      -               Y      N        1342335                 -            -
784430       -               Y      N        784430                  -            -
284711       -               Y      N        284711                  -            -
420376       -               Y      N        420376                  -            -
